Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
CONCOR,2023-12-19,860.4000244140625,2024-01-08,870.7999877929688,Win,1.21,0.6293747555354479,0.14613029229148022,1.034025154510366
DCBBANK,2023-12-19,134.5,2024-01-08,160.14999389648438,Win,19.07,0.7581228272060367,0.18502202643171806,1.0836427299418558
POONAWALLA,2023-12-20,439.8500061035156,2024-01-09,474.7999877929688,Win,7.95,0.5249145247601665,0.21187488995762752,1.04176372232944
POONAWALLA,2023-12-21,440.3500061035156,2024-01-10,481.3500061035156,Win,9.31,0.553478750091374,0.22183688557440662,1.035617125234167
POONAWALLA,2023-12-22,442.3500061035156,2024-01-11,491.3999938964844,Win,11.09,0.5550190095336115,0.22229901509764233,1.0334559242427679
POONAWALLA,2023-12-26,440.25,2024-01-12,496.25,Win,12.72,0.5225851247297112,0.20599921852258615,1.023087375433204
POONAWALLA,2023-12-27,434.1000061035156,2024-01-15,496.25,Win,14.32,0.53270354065711,0.21273918508051542,1.005522623320994
WIPRO,2023-12-27,235.4750061035156,2024-01-15,247.3000030517578,Win,5.02,0.5693128223007166,0.1892677075935131,1.0734734786717255
DCBBANK,2023-12-28,132.89999389648438,2024-01-16,151.89999389648438,Win,14.3,0.5067483164781442,0.18396431088182072,1.044098825714837
OIL,2023-12-28,255.13333129882807,2024-01-16,259.5666809082031,Win,1.74,0.5645433802529621,0.28014715199261914,1.0990905528498245
WIPRO,2023-12-28,234.7250061035156,2024-01-16,242.5,Win,3.31,0.5487530578138738,0.1829406702455193,1.0609854541102153
DCBBANK,2023-12-29,132.85000610351562,2024-01-17,149.85000610351562,Win,12.8,0.5000002832696953,0.17931650514000397,1.0372767562901577
WIPRO,2023-12-29,235.6499938964844,2024-01-17,241.1999969482422,Win,2.36,0.5214430430406916,0.16012304687500015,1.0565608016354313
WIPRO,2024-01-01,238.5749969482422,2024-01-18,241.3249969482422,Win,1.15,0.5177708257275586,0.15518704272579262,1.060512363451174
HEMIPROP,2024-01-11,176.89999389648438,2024-02-01,231.8500061035156,Win,31.06,0.5141155064815812,0.24314820873293827,1.090968042160227
HEMIPROP,2024-01-15,175.9499969482422,2024-02-05,251.6499938964844,Win,43.02,0.5105738523931741,0.23777702780888932,1.062884818785618
HEMIPROP,2024-01-16,176.0500030517578,2024-02-06,240.6000061035156,Win,36.67,0.5309393019988651,0.24593063870827497,1.0540195120553122
EIHOTEL,2024-01-19,288.45001220703125,2024-02-09,407.5,Win,41.27,0.6650027284704723,0.26236329193449126,1.0425822379710432
HEMIPROP,2024-01-19,177.5500030517578,2024-02-09,230.1000061035156,Win,29.6,0.5682239840008169,0.20659198380027752,1.043311888308194
EIHOTEL,2024-01-23,295.45001220703125,2024-02-12,391.1000061035156,Win,32.37,0.6679493888181547,0.2588411420907948,1.0580322447306039
