condition,feature,operator,threshold,matched_count,hit_count,non_hit_count,accuracy_pct,coverage_pct,non_hit_leakage_pct
volume_to_volume_ema_21_daily_difference_pct >= 48.446865813348836,volume_to_volume_ema_21_daily_difference_pct,>=,48.446865813348836,87,4,83,4.597701149425287,30.76923076923077,20.048309178743963
close_ema_8_daily_slope_pct >= 1.7863779592800457,close_ema_8_daily_slope_pct,>=,1.7863779592800457,87,4,83,4.597701149425287,30.76923076923077,20.048309178743963
close_ema_13_daily_slope_pct >= 1.3493518195970051,close_ema_13_daily_slope_pct,>=,1.3493518195970051,87,4,83,4.597701149425287,30.76923076923077,20.048309178743963
close_to_close_ema_3_daily_difference_pct >= 3.9901416615756546,close_to_close_ema_3_daily_difference_pct,>=,3.9901416615756546,44,2,42,4.545454545454546,15.384615384615385,10.144927536231885
volume_to_volume_ema_3_daily_difference_pct >= 34.04660855226177,volume_to_volume_ema_3_daily_difference_pct,>=,34.04660855226177,44,2,42,4.545454545454546,15.384615384615385,10.144927536231885
volume_to_volume_ema_5_daily_difference_pct >= 51.19691773901079,volume_to_volume_ema_5_daily_difference_pct,>=,51.19691773901079,44,2,42,4.545454545454546,15.384615384615385,10.144927536231885
volume_to_volume_ema_21_daily_difference_pct >= 94.55287460166234,volume_to_volume_ema_21_daily_difference_pct,>=,94.55287460166234,44,2,42,4.545454545454546,15.384615384615385,10.144927536231885
volume_to_volume_ema_55_daily_difference_pct >= 124.19622984120247,volume_to_volume_ema_55_daily_difference_pct,>=,124.19622984120247,44,2,42,4.545454545454546,15.384615384615385,10.144927536231885
volume_to_volume_ema_144_daily_difference_pct >= 178.56708324711732,volume_to_volume_ema_144_daily_difference_pct,>=,178.56708324711732,44,2,42,4.545454545454546,15.384615384615385,10.144927536231885
close_ema_3_daily_slope_pct >= 4.155970783240652,close_ema_3_daily_slope_pct,>=,4.155970783240652,44,2,42,4.545454545454546,15.384615384615385,10.144927536231885
close_ema_8_daily_range_5_pct <= 5.530858482329483,close_ema_8_daily_range_5_pct,<=,5.530858482329483,214,9,205,4.205607476635514,69.23076923076923,49.51690821256038
close_ema_221_daily_volatility_5_daily >= 0.22394424141689778,close_ema_221_daily_volatility_5_daily,>=,0.22394424141689778,214,9,205,4.205607476635514,69.23076923076923,49.51690821256038
close_to_close_ema_144_daily_difference_pct <= -10.696209802703043,close_to_close_ema_144_daily_difference_pct,<=,-10.696209802703043,171,7,164,4.093567251461988,53.84615384615385,39.61352657004831
close_to_close_ema_221_daily_difference_pct <= -11.72562640081017,close_to_close_ema_221_daily_difference_pct,<=,-11.72562640081017,171,7,164,4.093567251461988,53.84615384615385,39.61352657004831
close_ema_8_daily_range_5_pct <= 4.980764146389636,close_ema_8_daily_range_5_pct,<=,4.980764146389636,171,7,164,4.093567251461988,53.84615384615385,39.61352657004831
close_ema_144_daily_slope_pct <= -0.14937388054615627,close_ema_144_daily_slope_pct,<=,-0.14937388054615627,171,7,164,4.093567251461988,53.84615384615385,39.61352657004831
close_ema_221_daily_slope_pct <= -0.10648309627964324,close_ema_221_daily_slope_pct,<=,-0.10648309627964324,171,7,164,4.093567251461988,53.84615384615385,39.61352657004831
close_to_close_ema_8_daily_difference_pct >= 0.08422533518187833,close_to_close_ema_8_daily_difference_pct,>=,0.08422533518187833,172,7,165,4.069767441860465,53.84615384615385,39.85507246376812
volume_to_volume_ema_5_daily_difference_pct >= -0.7121990548424926,volume_to_volume_ema_5_daily_difference_pct,>=,-0.7121990548424926,172,7,165,4.069767441860465,53.84615384615385,39.85507246376812
volume_to_volume_ema_8_daily_difference_pct >= -2.0161352924338205,volume_to_volume_ema_8_daily_difference_pct,>=,-2.0161352924338205,172,7,165,4.069767441860465,53.84615384615385,39.85507246376812
