condition,feature,operator,threshold,matched_count,miss_count,hit_count,miss_accuracy_pct,miss_coverage_pct,hit_leakage_pct
close_ema_13_daily_slope_pct <= -0.600119452661095,close_ema_13_daily_slope_pct,<=,-0.600119452661095,214,127,87,59.345794392523366,53.36134453781513,46.03174603174603
high_low_ratio_daily >= 1.0357142857142858,high_low_ratio_daily,>=,1.0357142857142858,300,178,122,59.333333333333336,74.78991596638656,64.55026455026454
close_ema_8_daily_range_5_pct >= 6.578697361483423,close_ema_8_daily_range_5_pct,>=,6.578697361483423,172,102,70,59.30232558139535,42.857142857142854,37.03703703703704
volume_to_volume_ema_5_daily_difference_pct >= 51.19691773901079,volume_to_volume_ema_5_daily_difference_pct,>=,51.19691773901079,44,26,18,59.09090909090909,10.92436974789916,9.523809523809524
close_ema_8_daily_volatility_5_daily >= 2.5252862133489336,close_ema_8_daily_volatility_5_daily,>=,2.5252862133489336,44,26,18,59.09090909090909,10.92436974789916,9.523809523809524
close_ema_13_daily_range_5_pct >= 8.443132969256126,close_ema_13_daily_range_5_pct,>=,8.443132969256126,44,26,18,59.09090909090909,10.92436974789916,9.523809523809524
close_ema_21_daily_volatility_5_daily >= 1.6162878663229505,close_ema_21_daily_volatility_5_daily,>=,1.6162878663229505,44,26,18,59.09090909090909,10.92436974789916,9.523809523809524
close_ema_21_daily_range_5_pct >= 6.605535584445911,close_ema_21_daily_range_5_pct,>=,6.605535584445911,44,26,18,59.09090909090909,10.92436974789916,9.523809523809524
close_ema_221_daily_range_5_pct >= 1.7979421866922505,close_ema_221_daily_range_5_pct,>=,1.7979421866922505,44,26,18,59.09090909090909,10.92436974789916,9.523809523809524
close_to_close_ema_13_daily_difference_pct <= -5.4302316264153685,close_to_close_ema_13_daily_difference_pct,<=,-5.4302316264153685,171,101,70,59.06432748538012,42.436974789915965,37.03703703703704
volume_to_volume_ema_3_daily_difference_pct <= -13.46433708078104,volume_to_volume_ema_3_daily_difference_pct,<=,-13.46433708078104,171,101,70,59.06432748538012,42.436974789915965,37.03703703703704
close_ema_13_daily_slope_pct <= -0.8969211219974343,close_ema_13_daily_slope_pct,<=,-0.8969211219974343,171,101,70,59.06432748538012,42.436974789915965,37.03703703703704
close_ema_8_daily_range_5_pct >= 4.2039424200534175,close_ema_8_daily_range_5_pct,>=,4.2039424200534175,300,177,123,59,74.36974789915966,65.07936507936508
volume_to_volume_ema_8_daily_difference_pct <= -2.0161352924338205,volume_to_volume_ema_8_daily_difference_pct,<=,-2.0161352924338205,256,151,105,58.984375,63.4453781512605,55.55555555555556
close_to_close_ema_21_daily_difference_pct <= -2.8441701889870066,close_to_close_ema_21_daily_difference_pct,<=,-2.8441701889870066,214,126,88,58.87850467289719,52.94117647058824,46.56084656084656
volume_to_volume_ema_5_daily_difference_pct <= -9.253848938723163,volume_to_volume_ema_5_daily_difference_pct,<=,-9.253848938723163,214,126,88,58.87850467289719,52.94117647058824,46.56084656084656
high_low_ratio_daily >= 1.0526316038109653,high_low_ratio_daily,>=,1.0526316038109653,214,126,88,58.87850467289719,52.94117647058824,46.56084656084656
close_ema_21_daily_slope_pct <= -0.28361038270293626,close_ema_21_daily_slope_pct,<=,-0.28361038270293626,214,126,88,58.87850467289719,52.94117647058824,46.56084656084656
high_low_ratio_daily >= 1.0460937612340784,high_low_ratio_daily,>=,1.0460937612340784,257,151,106,58.754863813229576,63.4453781512605,56.08465608465608
close_ema_8_daily_range_5_pct >= 4.980764146389636,close_ema_8_daily_range_5_pct,>=,4.980764146389636,257,151,106,58.754863813229576,63.4453781512605,56.08465608465608
volume_to_volume_ema_55_daily_difference_pct >= -35.67849999042538,volume_to_volume_ema_55_daily_difference_pct,>=,-35.67849999042538,300,176,124,58.666666666666664,73.94957983193278,65.60846560846561
close_to_close_ema_8_daily_difference_pct <= 6.142592931228378,close_to_close_ema_8_daily_difference_pct,<=,6.142592931228378,341,200,141,58.65102639296188,84.03361344537815,74.60317460317461
close_ema_8_daily_slope_pct <= 1.7863779592800457,close_ema_8_daily_slope_pct,<=,1.7863779592800457,341,200,141,58.65102639296188,84.03361344537815,74.60317460317461
high_low_ratio_daily >= 1.080470104510112,high_low_ratio_daily,>=,1.080470104510112,87,51,36,58.620689655172406,21.428571428571427,19.047619047619047
